# quantbench — 2026-06-02 22:56:47
# go go1.25.0, 4 cores, 6 images
# metric scale: MSE lower=better, PSNR higher=better, dE2000 lower=better

== N = 4 ==
quantizer             MSE     PSNR    meanDE     p95DE   image
divisive/pca/rgb      34.42    32.76     4.150     8.175   monet.jpg
divisive/pca/rgb      66.90    29.88     4.428     9.201   napoleon.jpg
divisive/pca/rgb      57.18    30.56     3.708     8.369   pearl.jpg
divisive/pca/rgb     100.35    28.12     5.325    11.646   starry.jpg
divisive/pca/rgb*      70.77    29.87     4.547     9.888   [MEAN over 6, 1775ms]

divisive/pca/oklab      92.40    28.47     4.988    11.042   athens.jpg
divisive/pca/oklab      77.72    29.23     4.899    11.578   liberty.jpg
divisive/pca/oklab      37.41    32.40     4.328     8.892   monet.jpg
divisive/pca/oklab      74.59    29.40     4.508     9.744   napoleon.jpg
divisive/pca/oklab      75.94    29.33     4.184    11.150   pearl.jpg
divisive/pca/oklab     110.74    27.69     5.482    12.527   starry.jpg
divisive/pca/oklab*      78.14    29.42     4.732    10.822   [MEAN over 6, 1811ms]

kmeans/random/rgb/i10      93.95    28.40     4.799    10.456   athens.jpg
kmeans/random/rgb/i10      70.58    29.64     4.609     9.764   liberty.jpg
kmeans/random/rgb/i10      32.20    33.05     3.982     7.771   monet.jpg
kmeans/random/rgb/i10      61.13    30.27     4.443     8.885   napoleon.jpg
kmeans/random/rgb/i10      55.41    30.69     3.694     8.029   pearl.jpg
kmeans/random/rgb/i10      96.88    28.27     5.493    12.351   starry.jpg
kmeans/random/rgb/i10*      68.36    30.06     4.503     9.543   [MEAN over 6, 1570ms]

kmeans/kmeans++/rgb/i10      86.46    28.76     4.856    10.638   athens.jpg
kmeans/kmeans++/rgb/i10      72.66    29.52     4.738    10.530   liberty.jpg
kmeans/kmeans++/rgb/i10      32.38    33.03     3.950     7.581   monet.jpg
kmeans/kmeans++/rgb/i10      61.29    30.26     4.497     9.062   napoleon.jpg
kmeans/kmeans++/rgb/i10      49.26    31.21     3.626     7.876   pearl.jpg
kmeans/kmeans++/rgb/i10      96.21    28.30     5.510    12.007   starry.jpg
kmeans/kmeans++/rgb/i10*      66.38    30.18     4.529     9.616   [MEAN over 6, 1597ms]

kmeans/maximin/rgb/i10      88.70    28.65     4.874    10.569   athens.jpg
kmeans/maximin/rgb/i10      80.31    29.08     4.846    10.220   liberty.jpg
kmeans/maximin/rgb/i10      35.31    32.65     4.135     8.170   monet.jpg
kmeans/maximin/rgb/i10      61.88    30.22     4.431     8.785   napoleon.jpg
kmeans/maximin/rgb/i10      68.91    29.75     4.077     7.917   pearl.jpg
kmeans/maximin/rgb/i10     105.18    27.91     5.712    12.495   starry.jpg
kmeans/maximin/rgb/i10*      73.38    29.71     4.679     9.693   [MEAN over 6, 1530ms]

kmeans/maximin/oklab/i10      96.01    28.31     5.178    11.412   athens.jpg
kmeans/maximin/oklab/i10      82.98    28.94     5.185    13.268   liberty.jpg
kmeans/maximin/oklab/i10      38.21    32.31     4.390     8.583   monet.jpg
